,LONGITUDE,LATITUDE,HEADING,SOG,STW,ENGINE_1_FUEL_CONSUMPTION,ENGINE_2_FUEL_CONSUMPTION,PITCH_1,PITCH_2,POWER_1,POWER_2,SPEED_1,SPEED_2
0,-123.27149090909096,49.37717272727273,4.0,4.0,3.0,318.0,387.0,181.0,372.0,848.0,2318.0,872.0,904.0
1,-123.27134545454543,49.3783909090909,4.0,9.0,9.0,471.0,525.0,108.0,433.0,433.0,4219.0,522.0,970.0
2,-123.27113636363637,49.381181818181815,194.0,14.0,14.0,552.0,605.0,47.0,461.0,2.0,5454.0,8.0,985.0
3,-123.273,49.38476363636364,322.0,15.0,16.0,626.0,670.0,47.0,468.0,0.0,6124.0,-11.0,1009.0
4,-123.27846363636364,49.386799999999994,277.0,17.0,17.0,657.0,704.0,47.0,469.0,0.0,6360.0,-22.0,1042.0
5,-123.28543636363635,49.386163636363634,252.0,18.0,18.0,680.0,733.0,47.0,470.0,0.0,6642.0,-36.0,1064.0
6,-123.29260909090908,49.3840909090909,237.0,19.0,19.0,684.0,744.0,47.0,470.0,0.0,6659.0,-39.0,1065.0
7,-123.29843636363638,49.380418181818186,217.0,19.0,19.0,599.0,656.0,47.0,471.0,0.0,5840.0,-46.0,1046.0
8,-123.3033181818182,49.376009090909086,214.0,19.0,19.0,509.0,563.0,47.0,471.0,0.0,5004.0,-44.0,1009.0
9,-123.30794545454546,49.371536363636366,213.0,19.0,18.0,467.0,522.0,47.0,472.0,0.0,4592.0,-39.0,982.0
10,-123.3122909090909,49.36710909090909,212.0,18.0,18.0,415.0,472.0,47.0,472.0,0.0,4096.0,-52.0,950.0
11,-123.31646363636364,49.36270000000001,212.0,18.0,17.0,386.0,434.0,47.0,472.0,0.0,3795.0,-49.0,928.0
12,-123.32048181818182,49.35844545454545,212.0,17.0,17.0,381.0,429.0,47.0,472.0,0.0,3737.0,-51.0,921.0
