,LONGITUDE,LATITUDE,HEADING,SOG,STW,ENGINE_1_FUEL_CONSUMPTION,ENGINE_2_FUEL_CONSUMPTION,PITCH_1,PITCH_2,POWER_1,POWER_2,SPEED_1,SPEED_2
0,-123.95533,49.19369500000001,178.0,3.0,2.0,292.0,309.0,280.0,168.0,1857.0,565.0,882.0,617.0
1,-123.955285,49.194635,181.0,8.0,8.0,437.0,449.0,328.0,120.0,3432.0,492.0,943.0,568.0
2,-123.95506000000003,49.197100000000006,189.0,12.0,12.0,504.0,514.0,351.0,60.0,4576.0,152.0,977.0,205.0
3,-123.95353500000002,49.20052,217.0,15.0,14.0,515.0,522.0,359.0,57.0,4823.0,37.0,989.0,37.0
4,-123.94901,49.203345,241.0,16.0,16.0,544.0,549.0,361.0,56.0,5086.0,34.0,1009.0,22.0
5,-123.94265999999998,49.205439999999996,245.0,17.0,17.0,506.0,519.0,361.0,56.0,4730.0,33.0,1011.0,19.0
6,-123.935835,49.20750999999999,244.0,17.0,17.0,463.0,475.0,361.0,56.0,4339.0,33.0,997.0,18.0
7,-123.92911,49.20969999999999,239.0,17.0,17.0,453.0,466.0,363.0,55.0,4269.0,28.0,986.0,15.0
8,-123.92276,49.21225499999999,236.0,17.0,17.0,452.0,466.0,365.0,48.0,4277.0,0.0,985.0,-19.0
9,-123.91655499999997,49.21494,236.0,17.0,17.0,446.0,459.0,366.0,48.0,4204.0,0.0,981.0,-22.0
10,-123.91024,49.21764,237.0,17.0,17.0,437.0,450.0,366.0,48.0,4119.0,0.0,976.0,-28.0
11,-123.90288500000001,49.22065,238.0,17.0,17.0,451.0,460.0,366.0,48.0,4253.0,0.0,972.0,-26.0
12,-123.89633499999998,49.22304,248.0,17.0,17.0,450.0,464.0,367.0,47.0,4231.0,0.0,970.0,-30.0
13,-123.88923499999999,49.224610000000006,255.0,17.0,17.0,427.0,435.0,367.0,47.0,4000.0,0.0,966.0,-23.0
14,-123.88194499999997,49.225825,255.0,17.0,17.0,422.0,432.0,367.0,47.0,3955.0,0.0,963.0,-24.0
15,-123.87467499999998,49.22702499999998,255.0,17.0,17.0,422.0,430.0,367.0,47.0,3953.0,0.0,961.0,-23.0
16,-123.867405,49.22822000000001,255.0,17.0,17.0,424.0,434.0,367.0,47.0,3979.0,0.0,963.0,-23.0
17,-123.860125,49.22943499999999,255.0,17.0,17.0,425.0,435.0,367.0,47.0,3989.0,0.0,964.0,-26.0
18,-123.852815,49.23058999999999,256.0,17.0,17.0,419.0,429.0,367.0,47.0,3942.0,0.0,961.0,-25.0
19,-123.84549499999996,49.231714999999994,256.0,17.0,17.0,411.0,425.0,366.0,47.0,3862.0,0.0,956.0,-20.0
20,-123.838185,49.232805000000006,256.0,17.0,17.0,411.0,422.0,367.0,47.0,3852.0,0.0,955.0,-28.0
21,-123.83088500000001,49.23389999999999,256.0,17.0,17.0,412.0,420.0,367.0,47.0,3867.0,0.0,955.0,-24.0
22,-123.823575,49.23499500000001,256.0,17.0,17.0,415.0,429.0,367.0,47.0,3891.0,0.0,956.0,-27.0
23,-123.81625,49.23606000000001,256.0,17.0,17.0,417.0,429.0,367.0,47.0,3903.0,0.0,957.0,-20.0
24,-123.808945,49.23713499999999,256.0,17.0,17.0,417.0,430.0,367.0,47.0,3911.0,0.0,956.0,-25.0
25,-123.80160500000002,49.2382,257.0,17.0,17.0,409.0,419.0,367.0,47.0,3844.0,0.0,955.0,-27.0
26,-123.79424000000002,49.23924500000001,256.0,17.0,17.0,405.0,413.0,367.0,47.0,3790.0,0.0,949.0,-20.0
27,-123.78693000000001,49.240269999999995,257.0,17.0,17.0,399.0,403.0,367.0,47.0,3716.0,0.0,951.0,-22.0
28,-123.77966500000002,49.241274999999995,256.0,17.0,16.0,401.0,412.0,367.0,47.0,3743.0,0.0,954.0,-27.0
29,-123.77243500000002,49.24228,257.0,17.0,16.0,402.0,409.0,367.0,47.0,3747.0,0.0,954.0,-27.0
30,-123.76517500000003,49.243285,256.0,17.0,16.0,400.0,407.0,367.0,47.0,3747.0,0.0,951.0,-26.0
31,-123.757955,49.244295,257.0,17.0,16.0,400.0,409.0,367.0,47.0,3747.0,0.0,947.0,-24.0
32,-123.75073999999998,49.245285,256.0,17.0,16.0,403.0,410.0,367.0,47.0,3778.0,0.0,949.0,-25.0
33,-123.74348000000002,49.246315,256.0,17.0,17.0,404.0,417.0,367.0,47.0,3793.0,0.0,949.0,-23.0
34,-123.73625000000001,49.24733,256.0,17.0,17.0,413.0,421.0,367.0,47.0,3861.0,0.0,954.0,-26.0
35,-123.72895500000001,49.248395,256.0,17.0,17.0,418.0,423.0,367.0,47.0,3911.0,0.0,958.0,-25.0
36,-123.72170499999997,49.249445,256.0,17.0,17.0,420.0,430.0,366.0,47.0,3928.0,0.0,960.0,-30.0
37,-123.71439000000002,49.25053000000001,256.0,17.0,17.0,420.0,429.0,367.0,47.0,3936.0,0.0,961.0,-26.0
38,-123.70714000000002,49.251575,256.0,17.0,17.0,417.0,429.0,367.0,47.0,3900.0,0.0,959.0,-28.0
39,-123.69979000000001,49.252635000000005,256.0,17.0,17.0,416.0,422.0,367.0,47.0,3890.0,0.0,957.0,-30.0
40,-123.69252999999999,49.253690000000006,256.0,17.0,17.0,419.0,425.0,367.0,47.0,3912.0,0.0,958.0,-26.0
41,-123.68522,49.254755,256.0,17.0,17.0,422.0,427.0,367.0,47.0,3949.0,0.0,961.0,-27.0
42,-123.67794499999998,49.255829999999996,256.0,17.0,17.0,420.0,432.0,366.0,47.0,3928.0,0.0,961.0,-30.0
43,-123.670595,49.256919999999994,255.0,17.0,17.0,420.0,424.0,367.0,47.0,3928.0,0.0,961.0,-30.0
44,-123.6634,49.25804,255.0,17.0,17.0,420.0,423.0,367.0,47.0,3925.0,0.0,960.0,-29.0
